Date,Time,Zone,Device,PPM,VOC
12/07/2021,09:58,Zone1,T1,446,7
12/07/2021,09:58,Zone1,T2,565,25
12/07/2021,09:58,Zone2,T1,770,56
12/07/2021,09:58,Zone2,T2,428,4
12/07/2021,09:59,Zone1,T1,448,7
12/07/2021,09:59,Zone1,T2,459,8
12/07/2021,09:59,Zone2,T1,633,35
12/07/2021,09:59,Zone2,T2,454,8
12/07/2021,10:00,Zone1,T1,488,13
12/07/2021,10:00,Zone1,T2,566,25
12/07/2021,10:00,Zone2,T1,645,37
12/07/2021,10:00,Zone2,T2,439,5
12/07/2021,10:05,Zone1,T1,477,11
12/07/2021,10:05,Zone1,T2,529,19
12/07/2021,10:06,Zone1,T1,439,5
12/07/2021,10:06,Zone1,T2,434,5
12/07/2021,10:06,Zone2,T1,821,64
12/07/2021,10:06,Zone2,T2,415,2
12/07/2021,10:07,Zone1,T1,450,7
12/07/2021,10:07,Zone1,T2,476,11
12/07/2021,10:07,Zone2,T1,643,37
12/07/2021,10:07,Zone2,T2,475,11
12/07/2021,10:08,Zone1,T1,492,14
12/07/2021,10:08,Zone1,T2,427,4
12/07/2021,10:08,Zone2,T1,656,39
12/07/2021,10:08,Zone2,T2,445,6
12/07/2021,10:09,Zone1,T1,552,23
12/07/2021,10:09,Zone1,T2,500,15
12/07/2021,10:09,Zone2,T1,704,46
12/07/2021,10:09,Zone2,T2,464,9
12/07/2021,10:10,Zone1,T1,435,5
12/07/2021,10:10,Zone1,T2,520,18
12/07/2021,10:10,Zone2,T1,836,66
12/07/2021,10:10,Zone2,T2,454,8
12/07/2021,10:12,Zone1,T1,503,15
12/07/2021,10:12,Zone1,T2,492,14
12/07/2021,10:12,Zone2,T1,657,39
12/07/2021,10:12,Zone2,T2,453,8
12/07/2021,10:13,Zone1,T1,417,2
12/07/2021,10:13,Zone1,T2,574,26
12/07/2021,10:14,Zone1,T1,414,2
12/07/2021,10:14,Zone1,T2,485,12
12/07/2021,10:14,Zone2,T1,840,67
12/07/2021,10:14,Zone2,T2,462,9
12/07/2021,10:15,Zone1,T1,498,14
12/07/2021,10:15,Zone1,T2,498,14
12/07/2021,10:15,Zone2,T1,719,48
12/07/2021,10:15,Zone2,T2,496,14
12/07/2021,10:16,Zone1,T1,447,7
12/07/2021,10:16,Zone1,T2,498,14
12/07/2021,10:16,Zone2,T1,700,45
12/07/2021,10:16,Zone2,T2,461,9
12/07/2021,10:17,Zone1,T1,428,4
12/07/2021,10:17,Zone1,T2,617,33
12/07/2021,10:18,Zone1,T1,533,20
12/07/2021,10:18,Zone1,T2,496,14
12/07/2021,10:18,Zone2,T1,900,76
12/07/2021,10:18,Zone2,T2,465,9
12/07/2021,10:19,Zone1,T1,438,5
12/07/2021,10:19,Zone1,T2,572,26
12/07/2021,10:20,Zone1,T1,442,6
12/07/2021,10:20,Zone1,T2,475,11
12/07/2021,10:21,Zone1,T1,518,17
12/07/2021,10:21,Zone1,T2,570,25
12/07/2021,10:22,Zone1,T1,503,15
12/07/2021,10:22,Zone1,T2,482,12
12/07/2021,10:22,Zone2,T1,951,83
12/07/2021,10:22,Zone2,T2,452,7
12/07/2021,10:23,Zone1,T1,408,1
12/07/2021,10:23,Zone1,T2,643,37
12/07/2021,10:23,Zone2,T1,740,51
12/07/2021,10:23,Zone2,T2,483,12
12/07/2021,10:24,Zone1,T1,501,15
12/07/2021,10:24,Zone1,T2,481,12
12/07/2021,10:25,Zone1,T1,450,7
12/07/2021,10:25,Zone1,T2,574,26
12/07/2021,10:26,Zone1,T1,417,2
12/07/2021,10:26,Zone1,T2,477,11
12/07/2021,10:26,Zone2,T1,765,55
12/07/2021,10:26,Zone2,T2,451,7
12/07/2021,10:27,Zone1,T1,473,11
12/07/2021,10:27,Zone1,T2,627,34
12/07/2021,10:29,Zone1,T1,420,3
12/07/2021,10:29,Zone1,T2,552,23
12/07/2021,10:30,Zone1,T1,480,12
12/07/2021,10:30,Zone1,T2,464,9
12/07/2021,10:31,Zone1,T1,427,4
12/07/2021,10:31,Zone1,T2,456,8
12/07/2021,10:32,Zone1,T1,444,6
12/07/2021,10:32,Zone1,T2,460,9
12/07/2021,10:32,Zone2,T1,712,47
12/07/2021,10:32,Zone2,T2,471,10
12/07/2021,10:33,Zone1,T1,500,15
12/07/2021,10:33,Zone1,T2,470,10
12/07/2021,10:34,Zone1,T1,465,9
12/07/2021,10:34,Zone1,T2,540,21
12/07/2021,10:35,Zone1,T1,411,1
12/07/2021,10:35,Zone1,T2,561,24
12/07/2021,10:35,Zone2,T1,715,47
12/07/2021,10:35,Zone2,T2,503,15
12/07/2021,10:36,Zone1,T1,450,7
12/07/2021,10:36,Zone1,T2,500,15
12/07/2021,10:36,Zone2,T1,634,35
12/07/2021,10:36,Zone2,T2,478,11
12/07/2021,10:38,Zone1,T1,405,0
12/07/2021,10:38,Zone1,T2,505,15
12/07/2021,10:39,Zone1,T1,481,12
12/07/2021,10:39,Zone1,T2,452,7
12/07/2021,10:40,Zone1,T1,531,19
12/07/2021,10:40,Zone1,T2,462,9