Time,T1-PPM,T1-VOC,T2-PPM,T2-VOC
13:32,491,13,542,21
13:37,626,34,445,6
13:42,480,12,500,15
13:46,569,25,444,6
13:50,515,17,456,8
13:51,476,11,488,13
13:52,501,15,435,5
13:53,581,27,450,7
13:55,514,17,464,9
13:58,520,18,452,7
14:04,496,14,450,7
14:05,477,11,574,26
14:07,462,9,529,19
14:08,555,23,506,16
14:09,461,9,443,6
14:10,450,7,462,9
14:12,448,7,456,8
14:14,495,14,478,11
14:15,414,2,432,4
14:17,497,14,427,4
14:17,1519,184,434,5
14:23,487,13,425,3
14:23,1462,161,422,3
14:24,445,6,476,11
14:24,1514,181,473,11
14:26,452,7,498,14
14:29,461,9,415,2
14:40,428,4,418,2
14:41,426,3,414,2
14:44,488,13,423,3
14:44,1512,179,491,13
14:46,428,4,418,2
14:46,1400,152,493,14